Aircraft.Category,Make,Model,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
Airplane,Beech,58,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,2.0,Reciprocating,VMC,Cruise
Airplane,Cessna,152,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Takeoff
Airplane,Cessna,172P,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Beech,S35,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Taxi
Airplane,Cessna,177RG,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Boeing,A75,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Go-around
Airplane,Cessna,150,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Takeoff
Airplane,Bellanca,7GCBC,Fatal(1),1.0,0.0,1.0,0.0,Substantial,1.0,Reciprocating,VMC,Climb
Airplane,American Aviation,AA-1A,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Cessna,172P,Non-Fatal,0.0,0.0,0.0,3.0,Substantial,1.0,Reciprocating,VMC,Maneuvering
Airplane,Globe,SWIFT GC-1B,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Beech,A35,Fatal(4),4.0,0.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Piper,PA-28R,Non-Fatal,0.0,0.0,0.0,4.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Beech,A24R,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Descent
Airplane,Beech,C35,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Taxi
Airplane,Waco,SRE,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Cessna,414A,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,2.0,Reciprocating,VMC,Taxi
Airplane,Smith Miniplane,MINI,Non-Fatal,0.0,0.0,0.0,1.0,Destroyed,1.0,Reciprocating,VMC,Taxi
Airplane,Cessna,170A,Non-Fatal,0.0,2.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Lake,LA-4-200,Non-Fatal,0.0,0.0,1.0,0.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Mooney,M20A,Non-Fatal,0.0,1.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Piper,PA-32-300,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Unknown
Airplane,Cessna,340,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,2.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-24-250,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Standing
Airplane,Eagle,DW-1,Non-Fatal,0.0,1.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Luscombe,T-8F,Fatal(2),2.0,0.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Unknown
Airplane,Cessna,152,Non-Fatal,0.0,0.0,0.0,1.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Piper,PA-25-235,Non-Fatal,0.0,0.0,0.0,1.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Luscombe,8A,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Cessna,152,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Descent
Airplane,Cessna,140,Non-Fatal,0.0,0.0,1.0,0.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Swearingen,SA-226TC,Non-Fatal,0.0,0.0,1.0,17.0,Substantial,2.0,Turbo Prop,VMC,Standing
Airplane,Piper,PA-23-250,Non-Fatal,0.0,0.0,0.0,3.0,Substantial,2.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-18,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Takeoff
Airplane,Bowers Flybaby,1A,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Mooney,M20E,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,IMC,Cruise
Airplane,Cessna,182P,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Beech,E17L,Non-Fatal,0.0,0.0,0.0,3.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Volksplane,VP-2,Non-Fatal,0.0,0.0,1.0,0.0,Substantial,1.0,Reciprocating,VMC,Climb
Airplane,Cessna,206,Non-Fatal,0.0,0.0,0.0,5.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Beech,95-B55,Non-Fatal,0.0,0.0,0.0,4.0,Substantial,2.0,Reciprocating,VMC,Landing
Airplane,Piper,PA28-180,Non-Fatal,0.0,2.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Approach
Airplane,Aero Commander,100,Non-Fatal,0.0,3.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-30,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,2.0,Reciprocating,VMC,Landing
Airplane,Smith,MINIPLANE,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Piper,PA-22-108,Non-Fatal,0.0,1.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Cessna,177RG,Non-Fatal,0.0,0.0,0.0,4.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-32-260,Non-Fatal,0.0,0.0,2.0,3.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Swearingen,SA227-AC,Non-Fatal,0.0,0.0,0.0,8.0,Substantial,2.0,Turbo Prop,VMC,Taxi
Airplane,Cessna,172M,Fatal(1),1.0,2.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Landing
Airplane,Douglas,DC-9-30,Incident,0.0,0.0,0.0,65.0,Minor,2.0,Turbo Fan,VMC,Takeoff
Airplane,Lockheed,18,Fatal(3),3.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,UNK,Maneuvering
Airplane,Taylorcraft,BC12-65,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Grumman American,AA-1B,Fatal(1),1.0,0.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Beech,58,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,IMC,Landing
Airplane,Cessna,172PII,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Taxi
Airplane,Piper,PA-23-250,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,2.0,Reciprocating,VMC,Unknown
Airplane,Cessna,R182,Fatal(1),1.0,2.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Cruise
Airplane,Beech,F17D,Non-Fatal,0.0,0.0,1.0,0.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-23-250,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,2.0,Reciprocating,VMC,Taxi
Airplane,Beech,B-23,Fatal(1),1.0,0.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Maneuvering
Airplane,Piper,PA-31,Fatal(8),8.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,UNK,Unknown
Airplane,Cessna,182,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Taxi
Airplane,E.l. Craig,CRAIGCRAFT,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-28-181,Fatal(1),1.0,3.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Approach
Airplane,Piper,PA-39,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,2.0,Reciprocating,VMC,Cruise
Airplane,Eipper-formance,MX-II,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Piper,PA-18-125,Non-Fatal,0.0,1.0,0.0,1.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Cessna,172P,Fatal(2),2.0,1.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Cessna,320E,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,VMC,Cruise
Airplane,C. Eff,VARI-EZE,Fatal(1),1.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Approach
Airplane,Beech,H35,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,North American,F-51D,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,1.0,Reciprocating,VMC,Cruise
Airplane,American,AA-5B,Fatal(1),1.0,1.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Piper,PA-28-181,Fatal(4),4.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,UNK,Cruise
Airplane,Cessna,310C,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,2.0,Reciprocating,VMC,Approach
Airplane,Cessna,150F,Fatal(2),2.0,0.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Maneuvering
Airplane,Maule,M-5-210C,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Piper,PA-32-300,Non-Fatal,0.0,4.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Climb
Airplane,Cessna,402B,Non-Fatal,0.0,0.0,0.0,2.0,Substantial,2.0,Reciprocating,VMC,Taxi
Airplane,Cessna,172,Non-Fatal,0.0,0.0,3.0,1.0,Substantial,1.0,Reciprocating,IMC,Cruise
Airplane,Piper,J-3,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Maneuvering
Airplane,Cessna,172E,Incident,0.0,0.0,0.0,4.0,Minor,1.0,Reciprocating,VMC,Taxi
Airplane,Piper,J3C-65,Incident,0.0,0.0,0.0,4.0,Minor,1.0,Reciprocating,VMC,Taxi
Airplane,Cessna,172N,Non-Fatal,0.0,0.0,1.0,0.0,Destroyed,1.0,Reciprocating,VMC,Climb
Airplane,Piper,PA-28-161,Fatal(4),4.0,0.0,0.0,0.0,Substantial,1.0,Reciprocating,IMC,Takeoff
Airplane,Cassutt,111M,Fatal(1),1.0,0.0,0.0,0.0,Substantial,1.0,Reciprocating,VMC,Maneuvering
Airplane,Beech,B35,Non-Fatal,0.0,1.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Cruise
Airplane,J.a.mullan,DRAGONFLY,Non-Fatal,0.0,1.0,0.0,0.0,Destroyed,1.0,Reciprocating,VMC,Approach
Airplane,De Havilland,DHC-3,Incident,0.0,0.0,0.0,1.0,Minor,1.0,Reciprocating,VMC,Takeoff
Airplane,Piper,PA-28-161,Non-Fatal,0.0,0.0,0.0,1.0,Substantial,1.0,Reciprocating,VMC,Takeoff
Airplane,Quickie,TWO,Non-Fatal,0.0,0.0,1.0,0.0,Substantial,1.0,Reciprocating,VMC,Landing
Airplane,Cessna,337G,Fatal(4),4.0,0.0,0.0,0.0,Destroyed,2.0,Reciprocating,VMC,Climb
